fecha,cuenta,texto
Tue Dec 13 16:55:40 +0000 2016,GabeBlessing,"@TheMiddleOfTime Mexico is nice to visit, but it has its own share of grave problems. At least they didn't elect Trump, though."
Sun Dec 11 16:54:41 +0000 2016,michele_fino,".#SundayMorning quote from former nanny ""when ru coming to visit me in New Mexico?"" @oliverfino response: ""We can't. #trump is bldg a wall."""
Sat Dec 10 13:03:30 +0000 2016,jeffrey_brewer,"RT @RT_com: #Trump in Mexico: Illegal immigration harms both countries, no talk of who pays for the wall https://t.co/D8bBkq0BY2 https://t.…"
Fri Dec 09 18:32:09 +0000 2016,JaymOnI_Swaggz,#HNIC #Visit_TradersHub  BRP vows to remain in Mexico even if Trump pulls out of NAFTA:… https://t.co/RxG3Krhi6l #CREAM on @FoshoENT_Radio
Fri Dec 09 16:43:23 +0000 2016,PaulObrienUSA,"@JenniferJJacobs @slone didn't Trump already visit Mexico? As for Canada, let that joke of a prime minister come here."
Fri Dec 09 11:59:50 +0000 2016,cadwego,Mexican Children's U.S. Dance Trip Cancelled Over Trump Fears. Students from #Oaxaca had planned visit to Palo Alto https://t.co/cy7caIgYpH
Fri Dec 09 06:37:17 +0000 2016,glendpa,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 08 04:04:17 +0000 2016,mikejcasey,@carmichael_btc @JohnJHarwood Deers in headlights. Mexico Prez fired finance min after local backlash over Trump visit. Now he looks smart.
Wed Dec 07 13:15:54 +0000 2016,4salegreensboro,"Visit: https://t.co/HCeW5i52PX Miami Condo King Jorge Perez, Donald Trump's Latino Billionaire Friend, Expands ... https://t.co/LYaxHx7W6m"
Wed Dec 07 06:01:23 +0000 2016,JohnJohnhooja,Articles | Mail Online: Trump in surprise Mexico visit to address immigration https://t.co/nnVlpJSNrU
Wed Dec 07 01:54:11 +0000 2016,champa10,"RT @ThPatriotHerald: @xdelmar59 @puppymnkey They used Gore for show, just like Trump's ad-hoc visit to Mexico during the campaign. Gore sho…"
Tue Dec 06 20:56:29 +0000 2016,1371KS,HAHAHA to my hespanic friends that support trump... I'll visit you in Mexico 😂
Tue Dec 06 06:04:09 +0000 2016,ThPatriotHerald,"@xdelmar59 @puppymnkey They used Gore for show, just like Trump's ad-hoc visit to Mexico during the campaign. Gore should never have gone."
Mon Dec 05 05:51:53 +0000 2016,mattcaucus,"RT @Joe_Nye: On recent visit to #Mexico, best anti-Trump joke I heard: ""yes, we'll pay for the wall -- as long as it is on the 1845 border."""
Sun Dec 04 21:40:12 +0000 2016,VOAStevenson,Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/rLq7Jk5rbb @VOANews https://t.co/D0Md9DGyCq
Sun Dec 04 14:45:54 +0000 2016,asifpervezphd,#Google VOANews: RT CarolynVOA: #breaking Mexican Mayor invites realDonaldTrump to visit https://t.co/ivQ16VW0vk #carrier #voaalert
Sun Dec 04 14:20:58 +0000 2016,Ondine_MD,6: Also one that requires intense prepwork. Don't let Trump's rep fool you. Remember the Mexico visit. Also billed as spontaneous.
Sun Dec 04 13:52:02 +0000 2016,mcurryplt3098,Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/dNU6M1yG2z #SmartNews
Sun Dec 04 13:02:05 +0000 2016,Barnes96,"@TerrySerio 2 editions published in all areas of country. One b4 Trump speech on Mexico visit, on after."
Sun Dec 04 05:08:16 +0000 2016,ChigaemezuSamp1,"RT @VOANews: Mayor of Mexico town that lost nearly 1,000 Carrier jobs has invited President-elect Donald Trump to visit. https://t.co/3jR6V…"
Sat Dec 03 22:17:10 +0000 2016,radioworldsv,RT @VOANews: Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/7KuysaVABa https://t.co/XsVuKShu71
Sat Dec 03 21:51:39 +0000 2016,CELIAMENDOZA25,RT @VOANews: Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/7KuysaVABa https://t.co/XsVuKShu71
Sat Dec 03 21:32:41 +0000 2016,JodyField,+https://t.co/0833Vjj04j Mayor of Town That Lost Carrier Jobs Invites Trump to V... https://t.co/MHr6KYvB3R #news https://t.co/6iOFfORXuV
Sat Dec 03 21:06:08 +0000 2016,neutralnews,Mayor of Town That Lost Carrier Jobs Invites Trump to Visit: President-elect Donald Trump’s deal with U.S.… https://t.co/oI3N2xPjis
Sat Dec 03 20:34:37 +0000 2016,myriamps,"RT @VOANews: Mayor of Mexico town that lost nearly 1,000 Carrier jobs has invited President-elect Donald Trump to visit. https://t.co/3jR6V…"
Sat Dec 03 20:31:57 +0000 2016,Streitapfel,RT @El_Grillo1: Mayor of Mexican Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/pHbIArY0nT
Sat Dec 03 20:31:34 +0000 2016,El_Grillo1,Mayor of Mexican Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/pHbIArY0nT
Sat Dec 03 20:28:49 +0000 2016,Magaj43,"RT @VOANews: Mayor of Mexico town that lost nearly 1,000 Carrier jobs has invited President-elect Donald Trump to visit. https://t.co/3jR6V…"
